#  Vmag     Imag      dx       dy
 24.5140  22.7160  -0.1300   0.1100
 26.6280  24.3630  -0.1200  -0.2000
 27.1110  24.5250   0.0600  -0.1100
 22.6600  21.1990  -0.1200  -0.1100
 21.3350  20.2050  -0.2500   0.1000
 22.9870  21.3970  -0.1600  -0.0500
 21.7950  20.5430   0.0700  -0.0400
 29.3900  26.0040  -0.1500   0.0900
 24.5790  22.8310  -0.1600   0.0000
 24.7550  22.9090   0.1000  -0.2000
 25.9510  23.7150   0.0100  -0.1100
 23.7070  21.9530   0.0700   0.0000
 21.4290  20.2870   0.0800  -0.0800
 27.9530  27.3040   3.2400  -3.6800
 27.3470  26.7270  -0.0100  -0.3100
 26.0740  25.1700  -0.5800  -0.3600
 21.2690  20.1360  -0.1600   0.0100
 22.0180  20.7430   0.0200  -0.2000
 25.0650  23.1440  -0.0200  -0.0200
 21.6030  20.3950   0.0300  -0.1500
 26.9780  25.9840  -0.5100  -0.4400
 27.1320  26.0690  -0.5800  -0.1900
 24.1440  22.3890   0.0000   0.3100
 22.6770  21.2010  -0.1000   0.2700
 22.9770  21.5110  -0.0500  -0.0900
 26.4220  24.1360  -0.1000   0.0400
 30.6470  26.0920   0.8200  -0.0800
 22.6050  21.1290  -0.1200   0.2100
 23.6500  23.1330  -0.6100  -0.3000
 26.5580  24.1640  -0.1700   0.0000
 27.6910  24.9230   0.1500  -0.2800
 24.2550  22.2770   0.2800   0.0200
 23.0550  22.5580  -0.5300  -0.3200
 26.2180  24.0810   0.0700   0.0100
 23.8950  22.2440   0.0800  -0.0300
 27.6580  26.6210  -0.4600  -0.3400
 21.0800  20.0230   0.1700   0.1100
 27.1360  26.0730  -0.5500  -0.1300
 24.8330  22.8650  -0.1900  -0.1400
 28.4020  27.0120  -0.0800  -0.3000
 25.1340  23.0970   0.0400   0.0400
 24.2390  22.3920   0.0700   0.1100
 23.4950  21.8170  -0.0100  -0.1100
 27.6230  27.4620  -0.6900  -0.1100
 23.0940  21.5120   0.2400   0.1300
 24.1020  22.4550  -0.2100   0.0400
 22.7460  21.2260   0.1700  -0.0100
 25.4620  23.3760  -0.1500   0.0300
 25.6120  23.4510  -0.0600  -0.0800
 23.4280  21.8240  -0.1300  -0.1700
 25.1660  23.2380   0.1800  -0.0300
 20.9580  19.8940  -0.0400  -0.1500
 28.5930  26.9960  -0.9500  -0.0800
 23.5600  21.8370   0.1200  -0.0900
 22.0520  20.7400  -0.0600  -0.1000
 21.4530  20.3080   0.1300  -0.0600
 25.4120  23.3330   0.1600   0.1000
 26.9230  26.3560  -0.8300  -0.4600
 23.8110  23.3130  -0.6700  -0.2200
 21.3720  20.2290  -0.2900   0.0200
 21.1840  20.0670  -0.0300   0.0600
 28.2500  26.9030  -0.4800  -0.2400
 25.4540  24.7580  -0.2900  -0.0800
