X,CH1
Second,Volt,
4.00e-05,2.80e-01
4.40e-05,3.00e-01
4.80e-05,3.40e-01
5.20e-05,3.60e-01
5.60e-05,3.80e-01
6.00e-05,3.80e-01
6.40e-05,4.20e-01
6.80e-05,4.40e-01
7.20e-05,4.80e-01
7.60e-05,5.00e-01
8.00e-05,4.80e-01
8.40e-05,5.20e-01
8.80e-05,5.40e-01
9.20e-05,6.00e-01
9.60e-05,5.80e-01
1.00e-04,6.20e-01
1.04e-04,6.40e-01
1.08e-04,6.60e-01
1.12e-04,6.80e-01
1.16e-04,7.00e-01
1.20e-04,7.40e-01
1.24e-04,7.00e-01
1.28e-04,7.20e-01
1.32e-04,7.60e-01
1.36e-04,7.80e-01
1.40e-04,7.80e-01
1.44e-04,7.40e-01
1.48e-04,8.20e-01
1.52e-04,8.40e-01
1.56e-04,8.60e-01
1.60e-04,8.60e-01
1.64e-04,8.60e-01
1.68e-04,8.80e-01
1.72e-04,8.80e-01
1.76e-04,8.80e-01
1.80e-04,9.20e-01
1.84e-04,9.00e-01
1.88e-04,9.60e-01
1.92e-04,9.60e-01
1.96e-04,9.20e-01
2.00e-04,9.40e-01
2.04e-04,9.60e-01
2.08e-04,1.00e+00
2.12e-04,9.60e-01
2.16e-04,9.60e-01
2.20e-04,9.80e-01
2.24e-04,9.60e-01
2.28e-04,1.00e+00
2.32e-04,9.80e-01
2.36e-04,1.00e+00
2.40e-04,1.02e+00
2.44e-04,9.80e-01
2.48e-04,9.20e-01
2.52e-04,9.80e-01
2.56e-04,9.60e-01
2.60e-04,9.60e-01
2.64e-04,9.60e-01
2.68e-04,9.40e-01
2.72e-04,9.60e-01
2.76e-04,1.00e+00
